ts_ms,iso_utc,temp_c,rh_pct,vpd_kpa,soil_mv,soil_pct
1789430756086,2026-09-15T00:05:56Z,24.63,36.9,1.9552,1735,59.1
1789431656137,2026-09-15T00:20:56Z,25.33,36.38,2.0553,1714,60.56
1789432556137,2026-09-15T00:35:56Z,24.08,38.36,1.8481,1715,60.56
1789433456137,2026-09-15T00:50:56Z,23.95,37.68,1.854,1758,57.71
1789434356137,2026-09-15T01:05:56Z,23.85,36.82,1.8683,1719,60.49
1789435255768,2026-09-15T01:20:55Z,24.75,38.57,1.9172,1737,59.44
1789438855768,2026-09-15T02:20:55Z,23.22,43.23,1.6163,1734,59.72
1789439755768,2026-09-15T02:35:55Z,22.74,45.36,1.5111,1737,59.72
1789440655768,2026-09-15T02:50:55Z,23.35,45.91,1.5521,1762,58.12
1789441555930,2026-09-15T03:05:55Z,21.34,44.55,1.4081,1759,58.47
1789442455930,2026-09-15T03:20:55Z,21.56,43.38,1.4573,1772,57.85
1789443355930,2026-09-15T03:35:55Z,21.88,43.67,1.4785,1780,57.64
1789444255835,2026-09-15T03:50:55Z,21.65,43.3,1.4674,1806,55.97
1789445155835,2026-09-15T04:05:55Z,20.4,44.14,1.3389,1775,58.47
1789446055835,2026-09-15T04:20:55Z,21.98,43.63,1.4886,1798,57.01
1789446955416,2026-09-15T04:35:55Z,20.86,41.09,1.4525,1796,57.36
1789447855416,2026-09-15T04:50:55Z,21.59,40.33,1.5386,1821,55.83
1789448755416,2026-09-15T05:05:55Z,21.33,43.03,1.4458,1806,57.08
1789449655416,2026-09-15T05:20:55Z,22.07,40.35,1.5838,1834,55.28
1789450555625,2026-09-15T05:35:55Z,21.36,45.16,1.3943,1867,53.06
1789451455625,2026-09-15T05:50:55Z,20.75,43.76,1.3774,1840,55.21
1789452355625,2026-09-15T06:05:55Z,21.61,40.43,1.5379,1850,54.58
1789453255517,2026-09-15T06:20:55Z,22.95,43.53,1.5817,1829,56.04
1789454155517,2026-09-15T06:35:55Z,21.39,46.32,1.3673,1840,55.28
1789455055517,2026-09-15T06:50:55Z,20.21,45.31,1.2955,1853,54.38
1789455955517,2026-09-15T07:05:55Z,21.16,46.67,1.3394,1830,56.18
1789456855429,2026-09-15T07:20:55Z,20.45,49.99,1.2023,1850,54.79
1789457755429,2026-09-15T07:35:55Z,20.58,45.72,1.3155,1838,55.83
1789458655429,2026-09-15T07:50:55Z,19.35,47.68,1.175,1860,54.44
1789462255429,2026-09-15T08:50:55Z,19.17,49.32,1.1255,1886,53.33
1789463155429,2026-09-15T09:05:55Z,18.54,50.95,1.0473,1906,52.08
1789464055042,2026-09-15T09:20:55Z,18.93,51.59,1.0591,1898,52.92
1789464955042,2026-09-15T09:35:55Z,18.82,51.88,1.0456,1906,52.5
1789465855042,2026-09-15T09:50:55Z,18.64,52.36,1.0236,1896,53.33
1789465855228,2026-09-15T09:50:55Z,18.64,52.36,1.0236,1896,53.33
1789466755228,2026-09-15T10:05:55Z,18.35,53.41,0.983,1899,53.26
1789467655228,2026-09-15T10:20:55Z,18.07,54.48,0.9437,1934,50.9
