ts_ms,iso_utc,temp_c,rh_pct,vpd_kpa,soil_mv,soil_pct,soil_temp_c
1789517486023,2026-09-16T00:11:26Z,26.49,48.72,1.7743,1579,38.9,25.8
1789518386023,2026-09-16T00:26:26Z,26.34,48.45,1.768,1583,38.1,25.9
1789519286023,2026-09-16T00:41:26Z,26.35,48.75,1.7587,1582,38.24,25.9
1789520186023,2026-09-16T00:56:26Z,26.37,44.31,1.9133,1577,38.77,26.0
1789521085740,2026-09-16T01:11:25Z,25.99,43.63,1.8937,1579,38.5,26.0
1789521985740,2026-09-16T01:26:25Z,26.2,45.65,1.8487,1598,35.96,26.0
1789522885740,2026-09-16T01:41:25Z,25.35,41.7,1.8857,1592,36.76,26.0
1789523785740,2026-09-16T01:56:25Z,24.91,40.19,1.8845,1588,37.43,25.9
1789523785831,2026-09-16T01:56:25Z,24.91,40.19,1.8845,1588,37.43,25.9
1789524685831,2026-09-16T02:11:25Z,24.58,39.13,1.8805,1598,36.36,25.8
1789525585831,2026-09-16T02:26:25Z,24.52,38.49,1.8935,1592,37.43,25.6
1789526485831,2026-09-16T02:41:25Z,24.36,38.23,1.8834,1599,36.76,25.5
1789527385831,2026-09-16T02:56:25Z,24.07,38.25,1.8503,1598,37.03,25.4
1789528285653,2026-09-16T03:11:25Z,23.99,38.82,1.8245,1604,36.63,25.2
1789529185653,2026-09-16T03:26:25Z,23.82,38.42,1.8177,1599,37.7,25.0
1789530085653,2026-09-16T03:41:25Z,23.28,38.68,1.7521,1600,37.7,24.9
1789530985653,2026-09-16T03:56:25Z,22.95,37.87,1.7402,1603,37.7,24.7
1789531885529,2026-09-16T04:11:25Z,25.34,44.38,1.7979,1614,36.5,24.6
1789532785529,2026-09-16T04:26:25Z,25.76,43.83,1.8615,1614,36.1,24.8
1789533685529,2026-09-16T04:41:25Z,25.2,42.76,1.8349,1613,35.96,24.9
1789534585529,2026-09-16T04:56:25Z,23.67,39.39,1.773,1614,36.1,24.8
1789534585537,2026-09-16T04:56:25Z,23.67,39.39,1.773,1614,36.1,24.8
1789535485537,2026-09-16T05:11:25Z,23.21,38.63,1.7462,1615,36.36,24.6
1789536385537,2026-09-16T05:26:25Z,23.03,38.17,1.7402,1614,36.63,24.5
1789537285537,2026-09-16T05:41:25Z,22.72,38.09,1.7101,1622,35.96,24.3
1789538185537,2026-09-16T05:56:25Z,22.67,38.24,1.7008,1599,39.44,24.1
