ts_ms,iso_utc,temp_c,rh_pct,vpd_kpa,soil_mv,soil_pct
1789235154431,2026-09-12T17:45:54Z,29.24,47.12,2.1478,1197,
1789236054422,2026-09-12T18:00:54Z,29.07,47.62,2.1067,1074,100.0
1789236898518,2026-09-12T18:14:58Z,29.27,47.14,2.1507,1109,99.1
1789237582968,2026-09-12T18:26:22Z,29.16,47.42,2.1257,1118,98.54
1789238096188,2026-09-12T18:34:56Z,28.94,47.85,2.0817,1141,97.22
1789238996179,2026-09-12T18:49:56Z,29.28,46.92,2.1609,1152,96.32
1789239961327,2026-09-12T19:06:01Z,29.58,46.45,2.218,1186,93.4
1789240861318,2026-09-12T19:21:01Z,29.43,47.17,2.1694,1188,93.26
1789241761318,2026-09-12T19:36:01Z,29.64,46.96,2.2045,1203,92.22
1789242661318,2026-09-12T19:51:01Z,28.03,49.02,1.9304,1201,92.43
1789243561116,2026-09-12T20:06:01Z,27.75,47.92,1.9401,1218,91.46
1789244461116,2026-09-12T20:21:01Z,27.53,44.92,2.0257,1221,91.39
1789245361116,2026-09-12T20:36:01Z,27.54,45.15,2.0184,1238,90.42
1789246261116,2026-09-12T20:51:01Z,27.75,43.59,2.1014,1227,91.32
