ts_ms,iso_utc,temp_c,rh_pct,vpd_kpa,soil_mv,soil_pct,soil_temp_c
1789690281377,2026-09-18T00:11:21Z,29.83,55.55,1.8677,1598,31.55,28.4
1789691181377,2026-09-18T00:26:21Z,29.72,58.02,1.7528,1582,33.29,28.6
1789692081377,2026-09-18T00:41:21Z,29.19,55.78,1.7909,1604,30.21,28.7
1789692981278,2026-09-18T00:56:21Z,28.85,53.82,1.8338,1570,34.89,28.6
1789693881278,2026-09-18T01:11:21Z,27.64,47.44,1.9455,1588,32.49,28.6
1789694781278,2026-09-18T01:26:21Z,27.32,43.77,2.0427,1570,35.29,28.4
1789695681065,2026-09-18T01:41:21Z,29.16,46.58,2.1597,1586,33.16,28.4
1789696581065,2026-09-18T01:56:21Z,29.29,49.14,2.0717,1589,32.62,28.5
1789697481065,2026-09-18T02:11:21Z,28.42,45.64,2.1056,1588,32.89,28.4
1789698381065,2026-09-18T02:26:21Z,27.24,44.1,2.0213,1610,30.21,28.3
1789698381089,2026-09-18T02:26:21Z,27.24,44.1,2.0213,1610,30.21,28.3
