ts_ms,iso_utc,temp_c,rh_pct,vpd_kpa,soil_mv,soil_pct,soil_temp_c
1789863076537,2026-09-20T00:11:16Z,27.61,46.13,1.9905,1727,16.58,27.2
1789863976537,2026-09-20T00:26:16Z,27.5,45.55,1.999,1720,17.51,27.2
1789863976716,2026-09-20T00:26:16Z,27.5,45.55,1.999,1720,17.51,27.2
1789864876716,2026-09-20T00:41:16Z,27.25,44.27,2.0163,1719,17.65,27.2
1789865776716,2026-09-20T00:56:16Z,24.3,50.5,1.5038,1727,16.98,27.0
1789866676716,2026-09-20T01:11:16Z,25.43,48.08,1.6873,1726,17.65,26.7
1789867576454,2026-09-20T01:26:16Z,25.97,47.93,1.7472,1737,16.31,26.6
1789868476454,2026-09-20T01:41:16Z,26.17,46.32,1.8226,1752,14.57,26.5
1789869376454,2026-09-20T01:56:16Z,26.48,46.94,1.8348,1749,14.97,26.5
1789870276454,2026-09-20T02:11:16Z,26.09,47.87,1.7617,1749,14.97,26.5
1789873876285,2026-09-20T03:11:16Z,27.6,45.07,2.0284,1772,12.03,26.4
1789874776285,2026-09-20T03:26:16Z,27.31,48.37,1.8745,1735,16.58,26.6
1789875676285,2026-09-20T03:41:16Z,27.23,47.45,1.899,1773,11.63,26.6
1789876576285,2026-09-20T03:56:16Z,27.23,46.15,1.946,1737,16.18,26.7
1789877476209,2026-09-20T04:11:16Z,27.25,45.48,1.9725,1761,12.97,26.7
1789878376209,2026-09-20T04:26:16Z,27.03,45.5,1.9465,1737,16.04,26.8
1789879276209,2026-09-20T04:41:16Z,27.07,45.25,1.9601,1749,14.44,26.8
1789880176209,2026-09-20T04:56:16Z,27.08,45.0,1.9702,1738,15.91,26.8
1789881076330,2026-09-20T05:11:16Z,27.13,44.59,1.9907,1737,15.78,26.9
1789881976330,2026-09-20T05:26:16Z,27.01,45.07,1.9596,1753,13.64,26.9
1789882876330,2026-09-20T05:41:16Z,27.04,44.36,1.9884,1746,14.57,26.9
1789883776164,2026-09-20T05:56:16Z,27.11,44.31,1.9984,1750,14.04,26.9
1789884676164,2026-09-20T06:11:16Z,27.08,44.49,1.9884,1740,15.37,26.9
1789885576164,2026-09-20T06:26:16Z,27.07,44.32,1.9933,1737,15.78,26.9
1789886476164,2026-09-20T06:41:16Z,27.04,44.29,1.9909,1759,12.83,26.9
1789887376130,2026-09-20T06:56:16Z,27.01,44.48,1.9806,1747,14.44,26.9
1789888276130,2026-09-20T07:11:16Z,26.98,44.47,1.9775,1738,15.64,26.9
1789889176130,2026-09-20T07:26:16Z,26.93,44.57,1.9682,1725,17.38,26.9
1789890076045,2026-09-20T07:41:16Z,26.9,44.97,1.9505,1737,15.78,26.9
1789890976045,2026-09-20T07:56:16Z,26.8,45.13,1.9335,1737,15.78,26.9
1789891876045,2026-09-20T08:11:16Z,26.87,45.23,1.9379,1749,14.17,26.9
1789892776045,2026-09-20T08:26:16Z,26.84,45.78,1.9151,1761,12.83,26.8
1789893675756,2026-09-20T08:41:15Z,26.7,46.3,1.8811,1752,14.04,26.8
1789894575756,2026-09-20T08:56:15Z,26.6,46.6,1.8597,1749,14.44,26.8
1789895475756,2026-09-20T09:11:15Z,26.7,46.37,1.8787,1759,13.1,26.8
1789896375844,2026-09-20T09:26:15Z,26.69,46.5,1.873,1749,14.44,26.8
1789897275844,2026-09-20T09:41:15Z,26.61,46.96,1.8482,1738,16.04,26.7
1789898175844,2026-09-20T09:56:15Z,26.68,47.09,1.8513,1737,16.18,26.7
1789901775844,2026-09-20T10:56:15Z,26.58,48.0,1.8088,1742,15.64,26.6
1789902675844,2026-09-20T11:11:15Z,26.61,48.29,1.8019,1759,13.37,26.6
1789903575420,2026-09-20T11:26:15Z,26.51,49.27,1.7573,1737,16.31,26.6
1789904475420,2026-09-20T11:41:15Z,26.43,49.89,1.7277,1761,13.1,26.6
1789905375420,2026-09-20T11:56:15Z,26.46,50.23,1.719,1751,14.44,26.6
1789906275420,2026-09-20T12:11:15Z,26.34,51.1,1.6771,1750,14.57,26.6
1789907175335,2026-09-20T12:26:15Z,26.28,51.62,1.6534,1772,11.9,26.5
1789908075335,2026-09-20T12:41:15Z,26.25,52.19,1.631,1752,14.57,26.5
1789908975249,2026-09-20T12:56:15Z,26.37,52.56,1.6299,1729,17.65,26.5
1789909875249,2026-09-20T13:11:15Z,26.42,53.57,1.5999,1752,14.57,26.5
1789910775249,2026-09-20T13:26:15Z,26.29,54.22,1.5654,1764,12.97,26.5
1789911675450,2026-09-20T13:41:15Z,26.21,54.53,1.5475,1740,16.31,26.4
1789912575450,2026-09-20T13:56:15Z,26.24,54.49,1.5516,1759,13.77,26.4
1789913475450,2026-09-20T14:11:15Z,26.16,54.73,1.5362,1749,15.11,26.4
1789914375063,2026-09-20T14:26:15Z,26.21,54.51,1.5482,1749,15.11,26.4
1789915275063,2026-09-20T14:41:15Z,26.31,54.79,1.5478,1741,16.18,26.4
1789916175063,2026-09-20T14:56:15Z,26.41,54.4,1.5704,1763,13.24,26.4
1789917074995,2026-09-20T15:11:14Z,26.34,54.81,1.5498,1751,14.84,26.4
1789917974995,2026-09-20T15:26:14Z,26.28,56.88,1.4736,1749,15.11,26.4
1789918874995,2026-09-20T15:41:14Z,26.29,58.17,1.4304,1734,17.25,26.3
1789919774995,2026-09-20T15:56:14Z,26.21,58.69,1.4059,1714,19.92,26.3
1789920675178,2026-09-20T16:11:15Z,26.18,57.87,1.4313,1749,15.24,26.3
1789921575178,2026-09-20T16:26:15Z,26.14,57.87,1.4279,1728,18.05,26.3
