ts_ms,iso_utc,temp_c,rh_pct,vpd_kpa,soil_mv,soil_pct,soil_temp_c
1790211365184,2026-09-24T00:56:05Z,17.24,47.67,1.0295,1921,2.94,20.5
1790214965184,2026-09-24T01:56:05Z,21.83,43.31,1.4834,1945,0.94,19.8
1790218565184,2026-09-24T02:56:05Z,23.02,44.25,1.5682,1951,0.0,20.9
1790222165184,2026-09-24T03:56:05Z,23.61,45.48,1.5891,1929,0.0,21.8
1790225765184,2026-09-24T04:56:05Z,22.98,46.64,1.4973,1923,0.0,22.3
1790229365184,2026-09-24T05:56:05Z,21.39,53.91,1.174,1906,1.2,22.5
1790232965184,2026-09-24T06:56:05Z,16.8,57.89,0.8057,1945,0.0,21.3
1790236565184,2026-09-24T07:56:05Z,15.91,59.33,0.7353,1984,0.0,19.1
1790240165184,2026-09-24T08:56:05Z,14.57,64.92,0.5819,2008,0.0,17.6
1790243765184,2026-09-24T09:56:05Z,14.42,67.32,0.5368,2010,0.0,16.5
1790247365184,2026-09-24T10:56:05Z,14.59,66.59,0.5549,2019,0.0,15.8
1790250965184,2026-09-24T11:56:05Z,17.23,59.4,0.7983,2022,0.0,15.5
1790254565184,2026-09-24T12:56:05Z,14.9,66.6,0.5659,2030,0.0,15.2
1790258165184,2026-09-24T13:56:05Z,19.76,56.83,0.9945,2013,0.0,16.3
1790261765184,2026-09-24T14:56:05Z,20.2,54.02,1.0885,1998,0.0,17.8
1790265365184,2026-09-24T15:56:05Z,20.62,51.55,1.1771,1989,0.0,18.8
1790268965184,2026-09-24T16:56:05Z,20.73,50.97,1.1993,1988,0.0,19.5
1790272565184,2026-09-24T17:56:05Z,21.18,47.77,1.3134,1986,0.0,20.1
1790276165184,2026-09-24T18:56:05Z,21.52,48.25,1.3287,1984,0.0,20.6
1790277065146,2026-09-24T19:11:05Z,21.65,47.6,1.3561,1976,0.0,20.7
1790277965146,2026-09-24T19:26:05Z,21.66,47.29,1.365,1984,0.0,20.8
1790278865146,2026-09-24T19:41:05Z,21.85,46.45,1.4029,1996,0.0,20.9
1790282465146,2026-09-24T20:41:05Z,21.92,46.02,1.4202,1966,0.0,21.3
